query_node,target_node,similarity,decay_factor
1556418098,1556418098,1.0,0.7
1556418098,2136997892,0.0,0.7
1556418098,2100297733,0.0,0.7
1556418098,2092957704,0.0,0.7
1556418098,2156920844,0.0,0.7
1556418098,1837105166,0.0,0.7
1556418098,2145386513,0.0,0.7
1556418098,2156920850,0.0,0.7
1556418098,2586837016,0.0,0.7
1556418098,2095054873,0.0,0.7
1556418098,1556418098,1.0,0.8
1556418098,2136997892,0.0,0.8
1556418098,2100297733,0.0,0.8
1556418098,2092957704,0.0,0.8
1556418098,2156920844,0.0,0.8
1556418098,1837105166,0.0,0.8
1556418098,2145386513,0.0,0.8
1556418098,2156920850,0.0,0.8
1556418098,2586837016,0.0,0.8
1556418098,2095054873,0.0,0.8
1556418098,1556418098,1.0,0.9
1556418098,2136997892,0.0,0.9
1556418098,2100297733,0.0,0.9
1556418098,2092957704,0.0,0.9
1556418098,2156920844,0.0,0.9
1556418098,1837105166,0.0,0.9
1556418098,2145386513,0.0,0.9
1556418098,2156920850,0.0,0.9
1556418098,2586837016,0.0,0.9
1556418098,2095054873,0.0,0.9
2982615777,2982615777,1.0,0.7
2982615777,2136997892,0.0,0.7
2982615777,2100297733,0.0,0.7
2982615777,2092957704,0.0,0.7
2982615777,2156920844,0.0,0.7
2982615777,1837105166,0.0,0.7
2982615777,2145386513,0.0,0.7
2982615777,2156920850,0.0,0.7
2982615777,2586837016,0.0,0.7
2982615777,2095054873,0.0,0.7
2982615777,2982615777,1.0,0.8
2982615777,2136997892,0.0,0.8
2982615777,2100297733,0.0,0.8
2982615777,2092957704,0.0,0.8
2982615777,2156920844,0.0,0.8
2982615777,1837105166,0.0,0.8
2982615777,2145386513,0.0,0.8
2982615777,2156920850,0.0,0.8
2982615777,2586837016,0.0,0.8
2982615777,2095054873,0.0,0.8
2982615777,2982615777,1.0,0.9
2982615777,2136997892,0.0,0.9
2982615777,2100297733,0.0,0.9
2982615777,2092957704,0.0,0.9
2982615777,2156920844,0.0,0.9
2982615777,1837105166,0.0,0.9
2982615777,2145386513,0.0,0.9
2982615777,2156920850,0.0,0.9
2982615777,2586837016,0.0,0.9
2982615777,2095054873,0.0,0.9
